Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5cMdnuXV68TvLuwKXtYKBa,"רואים רחוק רואים שקוף","גלגל מסתובב","שמוליק קראוס",1982-01-01,182173,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:13:43Z,"","Hed Arzi Ltd.",0.559,0.306,9,-15.554,0,0.0256,0.316,0,0.145,0.187,92.789,3
spotify:track:1G607K69kMl1wWMxjBXgA9,"היא תיקח אותך","דפנה ארמוני","דפנה ארמוני",1986-09-01,263000,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:13:50Z,"","NMC United Entertainment Ltd.",0.707,0.715,2,-13.077,1,0.0416,0.318,0.0000279,0.0794,0.889,150.257,4
spotify:track:2XQIlmuOP60QOQm0pWFAiz,"אנשי הגשם","להקת חופים","Moshe Datz;Hofim Group",1985-01-01,178840,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:14:10Z,"","NMC United Entertainment Ltd.",0.445,0.499,5,-8.671,0,0.0854,0.8,0,0.0902,0.698,75.963,3
spotify:track:328rbe0qf3bi4eIAK7FKnD,"דם חם","שרי - הלהיטים הגדולים","שרי",2019-07-24,251653,25,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:14:23Z,"","Alon Amir",0.453,0.841,10,-9.378,0,0.0526,0.266,0.0053,0.111,0.8,146.684,4
spotify:track:3TTBWCRjrWEl87ZtXnby2C,"צל עץ תמר ואור ירח","היו זמנים","זוהר ארגוב",1989-01-01,343066,7,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:14:52Z,"מזרחית","2014 Reuveni Productions By PIL LTD",0.371,0.807,5,-6.286,0,0.0648,0.143,0,0.253,0.648,160.987,4
spotify:track:2uhE4Svs0QbA9xZEZMAf5v,"כמה פעמים","כמה פעמים ספרת עד עשר","רפי פרסקי",1989-11-01,260066,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:15:07Z,"מזרחית","NMC United Entertainment Ltd.",0.536,0.441,1,-11.138,1,0.0272,0.12,0,0.0849,0.311,79.117,4
spotify:track:4iYY6ORen1oEYE7VAvuzof,"סדר יום","להקה רטורית","להקה רטורית;יוסי אלפנט",2016-09-06,230017,29,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:15:19Z,"","NaNa Disc",0.617,0.805,7,-8.357,1,0.0462,0.0133,0.234,0.718,0.881,132.339,4
spotify:track:3DzH4Ee66GqVuScttPlBPj,"בן-בסט","תגיד לי מה אתה מרגיש","אלון אולארצ'יק",1993-06-01,252240,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:15:37Z,"מזרחית","NMC United Entertainment Ltd.",0.656,0.657,6,-12.023,0,0.0312,0.251,0.00000891,0.113,0.968,122.283,4
spotify:track:4dHeG5adqNGIaLviWJMPeB,"השיר שלנו","לילות לבנים","אביב גפן",1999-03-12,265666,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:15:54Z,"מזרחית","NMC United Entertainment Ltd.",0.51,0.661,9,-7.903,1,0.0258,0.0906,0.0000635,0.0972,0.36,94.881,4
spotify:track:3xYFL8jNvGkxacaHfAgkEP,"דוד ושאול","השלישי","אהוד בנאי",1992-09-01,258933,0,false,0l9aprgeray7lhpnynou763jx,2020-04-29T11:16:13Z,"מזרחית","NMC United Entertainment Ltd.",0.598,0.589,4,-13.802,0,0.0286,0.131,0.0124,0.156,0.665,130.703,4
